epoch,dice_coefficient,learning_rate,loss,val_dice_coefficient,val_loss
0,0.024936620146036148,9.999999747378752e-05,1.1846553087234497,0.04313880205154419,1.092502236366272
1,0.09667108952999115,9.999999747378752e-05,0.9912999272346497,0.13470357656478882,0.9242714643478394
2,0.21254050731658936,9.999999747378752e-05,0.8315288424491882,0.29876986145973206,0.7276389002799988
3,0.3941936790943146,9.999999747378752e-05,0.6306923627853394,0.4830947518348694,0.5347725749015808
4,0.5417582392692566,9.999999747378752e-05,0.4780721664428711,0.603990912437439,0.41253477334976196
5,0.6118349432945251,9.999999747378752e-05,0.40704184770584106,0.6342200040817261,0.383037805557251
6,0.6467572450637817,9.999999747378752e-05,0.3718678057193756,0.6301870346069336,0.3889574408531189
7,0.6690442562103271,9.999999747378752e-05,0.3494705855846405,0.6489361524581909,0.3699556291103363
8,0.6860686540603638,9.999999747378752e-05,0.3321608006954193,0.6738619804382324,0.34459388256073
9,0.6949403285980225,9.999999747378752e-05,0.32284411787986755,0.7045087218284607,0.31349220871925354
10,0.7052410840988159,9.999999747378752e-05,0.31233304738998413,0.7168282270431519,0.2996200621128082
11,0.7112604379653931,9.999999747378752e-05,0.30605506896972656,0.7051833868026733,0.3133898079395294
12,0.7170886397361755,9.999999747378752e-05,0.3000953793525696,0.6891601085662842,0.3298906683921814
13,0.7301678657531738,9.999999747378752e-05,0.2865053117275238,0.7298765778541565,0.28668585419654846
14,0.7331715822219849,9.999999747378752e-05,0.28335040807724,0.7100442051887512,0.30809760093688965
15,0.7355398535728455,9.999999747378752e-05,0.2808684706687927,0.7385246753692627,0.27796292304992676
16,0.7430403828620911,9.999999747378752e-05,0.2728506922721863,0.7443081140518188,0.2726779580116272
17,0.746313214302063,9.999999747378752e-05,0.2693733870983124,0.7224709391593933,0.29406678676605225
18,0.7487785220146179,9.999999747378752e-05,0.26681506633758545,0.7615036368370056,0.2535349130630493
19,0.7549375295639038,9.999999747378752e-05,0.26024511456489563,0.7347677946090698,0.2822325527667999
20,0.7569290995597839,9.999999747378752e-05,0.25819602608680725,0.7553693056106567,0.2600187659263611
21,0.763231635093689,9.999999747378752e-05,0.25143861770629883,0.7526467442512512,0.2629219889640808
22,0.7761169672012329,4.999999873689376e-05,0.23759832978248596,0.7652260065078735,0.24943210184574127
23,0.7808640003204346,4.999999873689376e-05,0.23263217508792877,0.7713291049003601,0.24296459555625916
24,0.7854586839675903,4.999999873689376e-05,0.22775067389011383,0.7618666887283325,0.25331005454063416
25,0.785920262336731,4.999999873689376e-05,0.22731976211071014,0.7613406181335449,0.2539522051811218
26,0.7888609170913696,4.999999873689376e-05,0.22413787245750427,0.7790693044662476,0.2350015491247177
27,0.7920750975608826,4.999999873689376e-05,0.22066111862659454,0.772133469581604,0.24223409593105316
28,0.7924091815948486,4.999999873689376e-05,0.22030450403690338,0.7767608761787415,0.23759394884109497
29,0.7956482172012329,4.999999873689376e-05,0.216884583234787,0.7709145545959473,0.2435932606458664
