epoch,iou_score,learning_rate,loss,val_iou_score,val_loss
0,0.12586764991283417,9.999999747378752e-05,0.8199716210365295,0.10334650427103043,1.2721327543258667
1,0.4759165942668915,9.999999747378752e-05,0.37686648964881897,0.5391584634780884,0.31932786107063293
2,0.5391851663589478,9.999999747378752e-05,0.31894540786743164,0.57101970911026,0.2909844219684601
3,0.5415365695953369,9.999999747378752e-05,0.31747448444366455,0.5743917226791382,0.28884628415107727
4,0.5556069016456604,9.999999747378752e-05,0.30509987473487854,0.5276100039482117,0.3317752480506897
5,0.569530189037323,9.999999747378752e-05,0.2925025522708893,0.5935658812522888,0.2717908024787903
6,0.5922043919563293,9.999999747378752e-05,0.2726358473300934,0.5986086130142212,0.2668614685535431
7,0.5996294021606445,9.999999747378752e-05,0.266314297914505,0.6034697890281677,0.2642730176448822
8,0.6041086316108704,9.999999747378752e-05,0.26241910457611084,0.605522632598877,0.2629537582397461
9,0.6028885841369629,9.999999747378752e-05,0.2639378607273102,0.5590878129005432,0.30176210403442383
10,0.6008737683296204,9.999999747378752e-05,0.2652980089187622,0.6169334053993225,0.25229567289352417
11,0.624296247959137,9.999999747378752e-05,0.24561019241809845,0.6247009038925171,0.24624240398406982
12,0.6340383291244507,9.999999747378752e-05,0.23719443380832672,0.6297765970230103,0.24205923080444336
13,0.6407974362373352,9.999999747378752e-05,0.23216500878334045,0.631396472454071,0.24050144851207733
14,0.6436917185783386,9.999999747378752e-05,0.2295348048210144,0.6233282685279846,0.24716484546661377
15,0.6465215682983398,9.999999747378752e-05,0.22721289098262787,0.6489502787590027,0.2260129749774933
16,0.6536208391189575,9.999999747378752e-05,0.2213866412639618,0.6312248706817627,0.241408571600914
17,0.6519945859909058,9.999999747378752e-05,0.22279739379882812,0.629172682762146,0.24242454767227173
18,0.6610350608825684,9.999999747378752e-05,0.2153288871049881,0.6314489841461182,0.2410520315170288
19,0.6616913676261902,9.999999747378752e-05,0.21496562659740448,0.6389694809913635,0.2342568188905716
20,0.6617276668548584,9.999999747378752e-05,0.21486902236938477,0.6483687162399292,0.22867098450660706
21,0.676378607749939,4.999999873689376e-05,0.20338667929172516,0.656988263130188,0.2204967588186264
22,0.6869345307350159,4.999999873689376e-05,0.19514647126197815,0.6664389371871948,0.2129814177751541
23,0.6930073499679565,4.999999873689376e-05,0.19050057232379913,0.6654378175735474,0.21388739347457886
24,0.6971793174743652,4.999999873689376e-05,0.18729431927204132,0.6747379302978516,0.2064966857433319
25,0.6980194449424744,4.999999873689376e-05,0.18672800064086914,0.622296929359436,0.25295257568359375
26,0.702176570892334,4.999999873689376e-05,0.18348214030265808,0.6593152284622192,0.21887464821338654
27,0.705692708492279,4.999999873689376e-05,0.18094392120838165,0.6619046926498413,0.21673527359962463
28,0.7056212425231934,4.999999873689376e-05,0.18103201687335968,0.6591016054153442,0.219086691737175
29,0.7109072208404541,4.999999873689376e-05,0.17723001539707184,0.6779587268829346,0.20434698462486267
30,0.7120107412338257,4.999999873689376e-05,0.17638275027275085,0.6723271012306213,0.20840959250926971
31,0.7119461297988892,4.999999873689376e-05,0.17639747262001038,0.6839993000030518,0.1988428384065628
32,0.7180236577987671,4.999999873689376e-05,0.1717369556427002,0.6851028203964233,0.19800040125846863
33,0.7176557183265686,4.999999873689376e-05,0.17214055359363556,0.6824451684951782,0.2002689242362976
34,0.7148364186286926,4.999999873689376e-05,0.1741204708814621,0.6779062151908875,0.20363689959049225
35,0.7195608019828796,4.999999873689376e-05,0.1707407683134079,0.6764214634895325,0.20523805916309357
36,0.7239946126937866,4.999999873689376e-05,0.16762055456638336,0.6804375052452087,0.20258218050003052
37,0.7185285687446594,4.999999873689376e-05,0.17153312265872955,0.6617483496665955,0.21735848486423492
