epoch,dice_coefficient,learning_rate,loss,val_dice_coefficient,val_loss
0,0.2797844707965851,0.0010000000474974513,0.7726061344146729,0.20652547478675842,0.8485620617866516
1,0.0,0.0010000000474974513,0.0,0.20652547478675842,0.8485620617866516
2,0.4596872925758362,0.0010000000474974513,0.5739087462425232,0.01651964895427227,2.1781787872314453
0,0.03474387899041176,9.999999747378752e-05,1.1573554277420044,0.06658323854207993,1.0629688501358032
1,0.11637195199728012,9.999999747378752e-05,0.9593179821968079,0.16234491765499115,0.8994386792182922
2,0.2520277798175812,9.999999747378752e-05,0.7858219146728516,0.3522877097129822,0.6769570112228394
0,0.025719216093420982,9.999999747378752e-05,1.211618423461914,0.033814936876297,1.1040842533111572
1,0.08039115369319916,9.999999747378752e-05,1.0250111818313599,0.11977910995483398,0.955879271030426
2,0.16781285405158997,9.999999747378752e-05,0.8874447345733643,0.24377158284187317,0.7988522052764893
3,0.3275451362133026,9.999999747378752e-05,0.701897919178009,0.4402328431606293,0.5850301384925842
4,0.49554556608200073,9.999999747378752e-05,0.5252649188041687,0.5749087333679199,0.4460538923740387
5,0.5949510931968689,9.999999747378752e-05,0.4237847328186035,0.6306322813034058,0.39088982343673706
6,0.6456477046012878,9.999999747378752e-05,0.3724207580089569,0.6485459804534912,0.3708929419517517
7,0.6705282330513,9.999999747378752e-05,0.34739163517951965,0.6875150203704834,0.33073100447654724
8,0.6908079385757446,9.999999747378752e-05,0.326813280582428,0.7010494470596313,0.31779909133911133
9,0.701316237449646,9.999999747378752e-05,0.316087543964386,0.6913764476776123,0.3297366201877594
10,0.7083224654197693,9.999999747378752e-05,0.30916154384613037,0.7234428524971008,0.2943260073661804
11,0.7189826965332031,9.999999747378752e-05,0.2978927493095398,0.7283391952514648,0.28980404138565063
12,0.7309519648551941,9.999999747378752e-05,0.285443514585495,0.7371106743812561,0.2794347405433655
13,0.7327976822853088,9.999999747378752e-05,0.2837206721305847,0.7358876466751099,0.2808619737625122
14,0.7402473092079163,9.999999747378752e-05,0.27590927481651306,0.7290269732475281,0.28938475251197815
15,0.744568943977356,9.999999747378752e-05,0.27141135931015015,0.7421205639839172,0.2749786376953125
